Laser Power (dBm),Q (dB),Length of Segment 1 (km),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-6,6.6921,24.0,40,0,250,112,0.16,0.158
-5,7.2427,24.0,40,0,250,112,0.16,0.158
-4,7.5391,24.0,40,0,250,112,0.16,0.158
-3,7.8982,24.0,40,0,250,112,0.16,0.158
-2,7.842,24.0,40,0,250,112,0.16,0.158
-1,7.2961,24.0,40,0,250,112,0.16,0.158
0,6.3659,24.0,40,0,250,112,0.16,0.158
1,5.044,24.0,40,0,250,112,0.16,0.158
2,4.0013,24.0,40,0,250,112,0.16,0.158
3,2.8498,24.0,40,0,250,112,0.16,0.158
-8,5.3858,28.0,40,0,250,112,0.16,0.158
-7,6.0128,28.0,40,0,250,112,0.16,0.158
-6,6.4835,28.0,40,0,250,112,0.16,0.158
-5,7.0333,28.0,40,0,250,112,0.16,0.158
-4,7.3343,28.0,40,0,250,112,0.16,0.158
-3,7.7734,28.0,40,0,250,112,0.16,0.158
-2,7.6194,28.0,40,0,250,112,0.16,0.158
-1,7.468,28.0,40,0,250,112,0.16,0.158
0,6.7985,28.0,40,0,250,112,0.16,0.158
1,5.4609,28.0,40,0,250,112,0.16,0.158
2,4.6299,28.0,40,0,250,112,0.16,0.158
3,3.7692,28.0,40,0,250,112,0.16,0.158
-8,5.2729,32.0,40,0,250,112,0.16,0.158
-7,5.8297,32.0,40,0,250,112,0.16,0.158
-6,6.2936,32.0,40,0,250,112,0.16,0.158
-5,6.8114,32.0,40,0,250,112,0.16,0.158
-4,7.2248,32.0,40,0,250,112,0.16,0.158
-3,7.5452,32.0,40,0,250,112,0.16,0.158
-2,7.5965,32.0,40,0,250,112,0.16,0.158
-1,7.487,32.0,40,0,250,112,0.16,0.158
0,7.1671,32.0,40,0,250,112,0.16,0.158
1,5.9559,32.0,40,0,250,112,0.16,0.158
2,4.4702,32.0,40,0,250,112,0.16,0.158
3,3.6645,32.0,40,0,250,112,0.16,0.158
-8,5.1883,36.0,40,0,250,112,0.16,0.158
-7,5.6457,36.0,40,0,250,112,0.16,0.158
-6,6.2205,36.0,40,0,250,112,0.16,0.158
-5,6.6394,36.0,40,0,250,112,0.16,0.158
